FBI documents viewed in secure areas of the U.S. Capitol,"WASHINGTON (Reuters) - FBI documents about the agency’s investigation into Democratic presidential nominee Hillary Clinton’s use of a private email server while secretary of state were being reviewed on Wednesday in secure rooms of the U.S. Capitol. Lawmakers and select staff from some congressional committees could page through the material, parts of which are redacted, in large binders labeled “secret” that the Federal Bureau of Investigation turned over to Congress on Tuesday. Republican lawmakers requested the information last month after the FBI recommended no criminal charges against Clinton. “Last I heard, my colleagues had their turn with the documents at 1:30 p.m.,” said a Senate Judiciary committee aide. “There’s only one set of documents for all the interested Senate committees, as I understand it.” She said those viewing the material were allowed to take notes. But if notes were taken on the classified parts, those notes had to be left in the secure area with the documents.  Clinton has been dogged for more than a year by questions about her use of a private email account while she was the nation’s top diplomat from 2009 to 2013. Republicans have repeatedly hammered Clinton over the issue, helping to drive opinion poll results showing that many U.S. voters doubt her trustworthiness. She faces Republican nominee Donald Trump in the Nov. 8 election. The FBI said on Tuesday it had provided “relevant materials” to congressional committees looking into the matter. “The material contains classified and other sensitive information and is being provided with the expectation it will not be disseminated or disclosed without FBI concurrence,” the agency said in a statement. Senate Judiciary Committee Chairman Chuck Grassley, a Republican, said in a statement on Tuesday an initial review of the material showed most of it was marked unclassified. Grassley, who has called for unclassified parts of the documents to be made public, wrote on Wednesday to the Senate Security Office, which has custody of the documents, asking them to provide his committee with an unclassified version. Clinton campaign spokesman Brian Fallon in a statement also called for the public release of the documents, “rather than allow Republicans to mischaracterize them through selective, partisan leaks.” The documents on the Senate side of the Capitol are under the control of the Office of Senate Security, Senate aides said. In the House of Representatives, another set was being viewed in a “Secure Compartmented Information Facility,” an aide with the House Oversight and Government Reform committee said. “Our investigators with (security) clearances have gone down there and looked at the documents,” the Oversight committee aide said.  It was unclear how many lawmakers had actually seen the material so far. Most members of Congress were not in town because of a congressional recess. The documents were made available to the Judiciary, Homeland Security, and Appropriations committees in the Senate, and the Oversight, Judiciary and Appropriations committees in the House, aides said.   The Intelligence committees on both sides of the Capitol also have copies, so they do not have to join the line with the others. ",politicsNews,"August 17, 2016 "
U.S. senator expresses concern about ag tech mergers,"WASHINGTON (Reuters) - Two major mergers in agricultural technology and seeds could hurt competition in the industry and make it harder for smaller companies to compete, Senator Charles Grassley, chairman of the Senate Judiciary Committee, wrote in a letter on Wednesday sent to antitrust enforcers. Grassley, a Republican from Iowa, urged the Federal Trade Commission, which is reviewing the purchase of Syngenta AG by the China National Chemical Corp [CNNCC.UL], and the Justice Department, which is looking at the merger of Dow Chemical Co and DuPont Co, to coordinate on the two reviews. “It is important that these transactions not be reviewed in isolation,” wrote Grassley. “I urge the Department of Justice and the Federal Trade Commission to collaborate, as appropriate, with input from the Department of Agriculture, in their analysis of the agricultural biotechnology and seed industry and the impact of these proposed transactions.” Dow and DuPont said in December that they would combine in an all-stock merger with plans to then break into three separate businesses. In February, China’s state-owned ChemChina [CNNCC.UL] made a $43 billion bid for Swiss seeds and pesticides group Syngenta. The deals by some of farmers’ biggest global suppliers concerned Grassley, who represents a largely agricultural state. “I am concerned that the convergence of these proposed transactions – as well as others currently being discussed – will have an enhanced adverse impact on competition in the industry and raise barriers to entry for smaller companies,” he wrote. “I also am concerned that further concentration in the industry will impact the price and choice of chemicals and seed for farmers, which ultimately will impact choice and costs for consumers. Finally, I am concerned that further consolidation will diminish critical research and development initiatives,” added Grassley.  The letter was dated Tuesday and sent to FTC Chairwoman Edith Ramirez and Renata Hesse, the acting head of the Justice Department’s Antitrust Division. ",politicsNews,"August 17, 2016 "
New Trump campaign manager to push candidate to focus on policy,"WASHINGTON (Reuters) - Donald Trump’s new campaign manager said on Wednesday she would encourage the Republican presidential nominee to focus on substance and continue delivering policy speeches as he has done in the last week. “Keep giving these policy speeches, because I tell you ... there’s absolutely zero evidence that the voters want this election to be about this content-free cacophony with no substance and no issues,” Kellyanne Conway said in an interview with Fox News.  Conway was named to the position on Wednesday by the Trump campaign in a shake-up that also appointed the head of conservative website Breitbart News to the new position of campaign CEO. ",politicsNews,"August 17, 2016 "
Trump campaign chairman helped pro-Russians in Ukraine move money to U.S. firms: AP,"WASHINGTON (Reuters) - U.S. Republican presidential candidate Donald Trump’s campaign chairman, Paul Manafort, helped a Ukrainian political party with close ties to Russia secretly move at least $2.2 million to two major Washington lobbying firms, the Associated Press reported on Wednesday. The AP, citing sources with direct knowledge of the effort, said the transfers were set up in ways to obscure the Ukrainian party’s attempts to sway U.S. policies, using a nonprofit organization to distance funds from Ukrainian politicians. U.S. law requires American lobbyists to register and report in detail any ties to foreign political parties or leaders to the U.S. Justice Department. The heads of both firms - Podesta Group Inc and Mercury LLC - told the AP they had concluded their work did not merit disclosure to the department, according to the report. Representatives for Trump and Mercury did not immediately respond to a request for comment.  Podesta Group Chief Executive Officer Kimberley Fritts said its lawyers worked with those at Mercury to determine that registering under the Foreign Agent Registration Act was unnecessary. It also obtained a statement from the nonprofit in question saying it was not directly or indirectly involved with a foreign entity, she said in an emailed statement.  The Podesta Group was founded in 1987 by Tony Podesta and his brother John, who now is campaign chairman for Democratic presidential candidate Hillary Clinton. John Podesta has not been with the firm for several years, but his brother is its chairman. The AP report comes less than three months before the Nov. 8 election and as polls show Trump slipping behind Clinton. Trump’s campaign on Wednesday announced a staff shake-up replacing Manafort as campaign manager after just two months. He will remain chairman and chief strategist. The New York Times this week reported Manafort’s name was found on secret ledgers showing cash payments designated to him of more than $12 million from a Ukrainian party with Russian ties. Manafort has denied any impropriety.  Ukrainian officials confirmed Manafort’s name appeared on a ledger and that more than $12 million had been allocated as an expenditure but said the presence of his name did not mean he received the funds. Clinton’s campaign has said Manafort’s associations are a troubling sign of ties between Trump’s campaign team and pro-Kremlin elements in Ukraine. According to the AP, in 2012 Manafort and associate Rick Gates worked on behalf of Ukraine’s then-president, Viktor Yanukovych, and helped steer the efforts of European Centre for a Modern Ukraine, an advocacy group that once included members of Yanukovych’s party.  The group paid at least $2.2 million to the Washington firms to push positions favorable to the party from 2012 until 2014, when Yanukovych was ousted and fled to Russia, the AP said, citing sources. That work included efforts to counter a potential congressional resolution pressuring Yanukovych to release a political rival from prison, the AP reported. Gates, who also works for the Trump campaign, told the AP his actions were lawful. He said he and Manafort had introduced the advocacy group to the firms and sometimes consulted with the firms on Ukrainian politics, the report said. Podesta’s Fritts said her firm was unaware that Gates was a consultant to the Ukrainian party when he introduced the advocacy group: “Our assumption was that he was working for the Centre, as we were hired to do.” ",politicsNews,"August 17, 2016 "
FBI delivers documents on Clinton email probe to U.S. Congress,"WASHINGTON (Reuters) - The Federal Bureau of Investigation said on Tuesday it had turned over to the U.S. Congress a number of documents related to its probe into Hillary Clinton’s use of a private email server while she was secretary of state. The Democratic presidential nominee has for over a year been dogged by questions about her use of a private email account while she was the nation’s top diplomat. Republicans have repeatedly hammered Clinton over the issue, helping to drive opinion poll results showing that many U.S. voters doubt her trustworthiness. The FBI said it had provided “relevant materials” to congressional committees looking into the matter. “The material contains classified and other sensitive information and is being provided with the expectation it will not be disseminated or disclosed without FBI concurrence,” the agency said in a statement. The Clinton campaign criticized the delivery of the documents. “This is an extraordinarily rare step that was sought solely by Republicans for the purposes of further second-guessing the career professionals at the FBI,” Clinton spokesman Brian Fallon said in a statement.  “We believe that if these materials are going to be shared outside the Justice Department, they should be released widely so that the public can see them for themselves, rather than allow Republicans to mischaracterize them through selective, partisan leaks.” A spokeswoman for the House of Representatives Oversight and Government Reform Committee said in an email that staff for the panel was reviewing the information classified as “secret.” “There are no further details at this time,” the aide said. Senate Judiciary Committee Chairman Chuck Grassley, a Republican, said in a statement that an initial review of the material showed most of it was marked unclassified, and urged the FBI to make as much of it public as possible. FBI Director James Comey told Congress last month that Clinton’s handling of classified information while using  private email servers was “extremely careless.” But he said he would not recommend criminal charges be brought against her. Comey’s statement lifted a cloud of uncertainty from Clinton’s White House campaign. But his strong criticism of her judgment ignited a new attack on her by Republicans, including Donald Trump, her Republican opponent in the Nov. 8 election. The Oversight committee, chaired by Republican Representative Jason Chaffetz, had asked the FBI for the complete investigative file from its review of Clinton’s use of a private email server. The FBI has also provided documents from its investigation to the House Judiciary Committee, an aide said. Chaffetz and Judiciary Committee Chairman Bob Goodlatte, also a Republican, last month urged federal prosecutors to investigate whether Clinton had committed perjury. They said some FBI findings about her email servers were at odds with her previous testimony to Congress about the matter, for example, her statement she had not sent or received information designated as classified. But the FBI, in a letter sent to the committee on Tuesday, said the fact that the agency had uncovered three instances in which Clinton had received emails containing “(C)” markings, which denote “confidential” information, was “not clear evidence of knowledge or intent” to mishandle such material. The letter, which accompanied the FBI’s investigative documents, noted relevant emails had been forwarded to Clinton by staff, lacked “header and footer markings” indicating the presence of classified information, and only one email was later determined by the State Department to contain classified information. Clinton’s fellow Democrats were scornful that Republicans were refusing to let the matter drop. “The FBI already determined unanimously that there is insufficient evidence of criminal wrongdoing,” said Representative Elijah Cummings, the top Democrat on the Oversight committee. “Republicans are now investigating the investigator in a desperate attempt to resuscitate this issue, keep it in the headlines, and distract from Donald Trump’s sagging poll numbers.”  ",politicsNews,"August 16, 2016 "
"Clinton names close confidants, Obama veterans to transition team","WASHINGTON/PHILADELPHIA (Reuters) - Hillary Clinton’s White House transition team, a mix of former advisers of President Barack Obama, close confidants, long-time colleagues and former elected officials, reflects the sense of careful organization the Democratic candidate has aimed to project in her presidential campaign. But her Republican rival, Donald Trump, could seize on the group to make the point that she is part of the establishment he aims to defeat in November’s election, and to reiterate his charge that a Clinton administration would be an Obama “third term.” The group, which the Clinton campaign named on Tuesday and which will lay the groundwork for her to take charge quickly if she wins, is evidence of Clinton’s long experience in Washington as a former secretary of state, U.S. senator and first lady. Transition teams aim to help the president-elect make key decisions during the period between the election and the inauguration, in this case from Nov. 8 to Jan. 20, so the new White House occupant can fill leadership posts quickly. “They are the names you would expect – people who have been advising her for a long time; people who have worked with her for a long time and people who are peers, who she respects,” Matt Bennett of the moderate Democratic group Third Way said of Clinton’s transition team.  The group will be headed by Ken Salazar, a former interior secretary and U.S. senator. He will lead four co-chairs: former Obama national security adviser Tom Donilon; former Obama aide Neera Tanden, who now leads the progressive think tank the Center for American Progress; former Michigan Governor Jennifer Granholm and Maggie Williams, the director of Harvard’s Institute of Politics. Heather Boushey, the executive director of the Washington Center for Equitable Growth, will be the chief economist. Two additional policy advisers from Clinton’s campaign, Ed Meier and Ann O’Leary, will also move full-time to the transition team, the campaign said in a statement. The transition team does not necessarily reflect future policy. “The job here is to give options, not just say there is one policy course you want to take,” said Democratic strategist Bob Shrum, who advised the presidential campaigns of Al Gore and John Kerry. Clinton would be the first woman elected to the U.S. presidency and Shrum said Clinton’s team “has got to be the first transition team in history where the majority of its members are women.” Shrum added that Clinton is largely following Obama’s template as he prepared for his transition after the 2008 election. Tanden, who played a key role in shaping Obama’s health care overhaul, is a member of Clinton’s tight-knit inner circle, and has also worked for her husband, former President Bill Clinton. Williams was the 1992 transition director for Clinton when she became first lady, and then her chief of staff in the White House. Clinton worked closely with Donilon when she led the State Department from 2009-2013. Granholm, the former governor, is also a former state attorney general and has years of experience in Democratic politics. The Progressive Change Campaign Committee applauded the selection of O’Leary and Boushey, praising their economic positions. The environmental group Greenpeace criticized Salazar for not curbing fracking in his home state of Colorado. The announcement of the team came as Clinton has gained momentum in the opinion polls, with the current RealClearPolitics average of national polls showing her 6.7 points ahead, at 47.7 percent to Trump’s 41 percent.  Trump’s campaign has struggled after he made a string of controversial remarks since formally winning his party’s nomination last month. More establishment Republicans, alarmed by Trump’s inability or unwillingness to rein in his provocative remarks, have distanced themselves from the candidate in recent weeks. The Wall Street Journal, a leading conservative voice, said in an editorial on Monday that he should fix his campaign in the next three weeks or hand over to his running mate, Indiana Governor Mike Pence. Trump, a New York businessman who has never held elected office, picked New Jersey Governor Chris Christie to head his transition team in May. ",politicsNews,"August 16, 2016 "
Liz Cheney claims victory in Wyoming primary for U.S. House seat,"CODY, Wyo. (Reuters) - Liz Cheney, former Vice President Dick Cheney’s eldest daughter, claimed victory late on Tuesday in Wyoming’s Republican primary race for the state’s lone U.S. House of Representatives seat. Unofficial early results by 10 p.m. (0400 GMT) showed Cheney with 26,363 votes in the nation’s least populous state. State Senator Leland Christensen was running a distant second, with almost 15,000 votes, while her six other Republican competitors each held fewer than 12,000 votes. “I’m honored by the trust Wyoming Republicans have placed in me to serve as our next Representative in Congress,” Cheney said in a statement. The Casper Star-Tribune newspaper called the race late on Tuesday night. Wyoming is a reliably red state, with the Republican primary winner all but assured of a general election victory in November. Cheney’s apparent victory comes two years after she launched an unsuccessful bid for a U.S. Senate seat that saw her withdraw from the race early. She drew criticism from some establishment Republicans two years ago when she ran against popular incumbent Senator Mike Enzi and was labeled a “carpetbagger” for having only recently established residency in Teton County, one of the country’s wealthiest zip codes, in a state widely populated by working-class miners, oil, and gas workers. She said a family health crisis prompted her to withdraw. Cheney, 49, is a lawyer who worked in the U.S. State Department while her father was vice president. Her campaign has received strong financial support from former high-ranking government officials, such as former Presidents George H.W. Bush and George W. Bush, former Defense Secretary Donald Rumsfeld and former White House political adviser Karl Rove. Cheney campaigned as a “strong conservative voice for Wyoming,” promising to protect the state’s pivotal coal industry, defend gun rights, and generally work “to reverse President Obama’s devastating policies.” ",politicsNews,"August 17, 2016 "
Trump says he would bar top aides from accepting speaking fees,"WEST BEND, Wis. (Reuters) - Republican presidential nominee Donald Trump said if elected he would force top administration officials to sign a pledge not to accept speaking fees from corporations with registered lobbyists or foreign countries for five years after leaving office.  The pledge - a rare policy pronouncement from the New York real estate mogul - was part of his criticism of Democratic rival Hillary Clinton who, along with her husband, former president Bill Clinton, have accepted millions of dollars in speaking fees since he left office. ",politicsNews,"August 17, 2016 "
Clinton leads Trump by six points in latest Reuters/Ipsos poll,"NEW YORK (Reuters) - Democratic presidential nominee Hillary Clinton has a 6-percentage-point lead over Republican rival Donald Trump, according to a Reuters/Ipsos tracking poll released on Tuesday. Clinton’s support has ranged from 41 percent to 44 percent since late July, and was about 41 percent in the Aug. 11-15 online poll. Trump’s support has experienced wider shifts ranging from 33 percent to 39 percent while his campaign has endured controversies and distractions in recent weeks. He is favored by about 35 percent of likely voters, according to the most recent poll. Trump has caused divisions in the Republican Party with his strong anti-immigrant and anti-Muslim rhetoric, and faced criticism from both parties earlier this month for a days-long feud with the parents of a Muslim American Army captain killed in Iraq. Last week, 70 Republicans, including former members of Congress and Republican National Committee staff, wrote a letter calling for the RNC to stop helping Trump, whose actions they said were “divisive and dangerous.” The number of likely voters who picked neither Clinton nor Trump in the poll was nearly 24 percent.  At this point in 2012, President Barack Obama was ahead of Republican nominee Mitt Romney by nearly the same margin, favored by 46 percent of likely voters to Romney’s 41 percent, with about 13 percent picking neither candidate. Obama and Romney swapped the lead in the poll several times through the summer and early fall before the president took and held the lead in late October. In a separate Reuters/Ipsos poll that gave respondents the option to choose from Clinton, Trump, Libertarian candidate Gary Johnson and Green Party candidate Jill Stein, Clinton also led Trump by 6 percentage points. Of the alternative party candidates, Johnson came in third with 8 percentage points. Stein had about 2 percentage points.  The Aug. 11-15 polls surveyed a sample of 1,132 and 1,131 likely voters, respectively, and had a credibility interval of 3 percentage points. ",politicsNews,"August 16, 2016 "
"Trump, in law and order speech, calls for African-American support","WEST BEND, WIS. (Reuters) - U.S. Republican presidential nominee Donald Trump on Tuesday delivered his most aggressive call yet to woo African-American voters, vowing to restore law and order, only days after a fatal police shooting of a black man sparked more street violence. Speaking a few miles from Milwaukee, which was rocked by weekend riots, Trump accused his Democratic rival Hillary Clinton of “bigotry” and vowed to protect the jobs of minorities from immigrants. Trump has been repeatedly called a “bigot” by his Democratic opponents. “I’m asking for the vote for every African-American citizen struggling in our society today who wants a different and much better future,” Trump said. “Jobs, safety, opportunity, fair and equal representation: We reject the bigotry of Hillary Clinton which panders to, and talks down to, communities of color and sees them only as votes – that’s all they care about – not as individual human beings worthy of a better future.” Earlier, Trump held three events in Milwaukee, a city still reeling from violent protests after the death of Sylville Smith, 23. Authorities said Smith was stopped for acting suspiciously and was shot by police because he was carrying an illegal handgun and refused orders to drop it.  Trump encountered only a handful of peaceful protesters while in the city, including some at a closed fundraiser. He held a brief meeting with veterans and law enforcement, including Milwaukee County Sheriff David Clarke and Inspector Edward Bailey. But news media representatives were escorted out and not permitted to hear the discussions.  Clarke, who is black and spoke at last month’s Republican National Convention, has criticized the protests, writing in an opinion piece for The Hill that they were “a collapse of the social order, where tribal behavior leads to reacting to circumstances instead of waiting for facts to emerge.” Trump also taped a town hall meeting with Fox News, in which he blamed President Barack Obama for what he sees as hostility toward police. “He has not been good to the police, simply, and the police are not big fans of his,” Trump said. Trump traveled 45 minutes outside of Milwaukee, which is 40 percent black, to deliver his appeal to African-American voters in the suburb of West Bend, Wisconsin, a community that is 95 percent white. He spoke before an almost entirely white audience.  “A vote for her (Clinton) is a vote for another generation of poverty, high crime and lost opportunities,” Trump said. “Crime and violence is an attack on the poor and it will never be accepted in a Trump administration.”  Clinton won the Democratic nomination in part thanks to her large victory margins among minorities in nearly every state, including overwhelming support from African-Americans in the South. “With each passing Trump attack, it becomes clearer that his strategy is just to say about Hillary Clinton what’s true of himself,” Clinton spokeswoman Jennifer Palmieri said. “When people started saying he was temperamentally unfit, he called Hillary the same. When his ties to the Kremlin came under scrutiny, he absurdly claimed that Hillary was the one who was too close to Putin. “Now he’s accusing her of bigoted remarks - we think the American people will know which candidate is guilty of the charge.” Trump also took aim at Clinton’s past acceptance of large speaking fees, saying he would force top administration officials to sign a pledge not to accept speaking fees from corporations with registered lobbyists or foreign countries for five years after leaving office. Police violence against African-Americans has set off intermittent, sometimes violent protests in the past two years, igniting a national debate over race and policing in the United States and giving rise to the Black Lives Matter movement. Trump said critics of the police “share in the responsibility for the unrest in Milwaukee and other places in our country.” “The war on our police must end and it must end now,” Trump said. “The war on police is a war against all peaceful citizens.” The shooting of Smith was likely justified, Trump argued in an interview with Fox News on Tuesday morning. “But the gun was pointed at his (a police officer’s) head, supposedly ready to be fired. Who can have a problem with that? That’s what the narrative is,” Trump said. “Maybe it’s not true. If it is true, people shouldn’t be rioting.”  Officials from the Office of Director of National Intelligence are expected to give Trump a briefing on national security issues this week, an adviser to Trump and a source familiar with the matter said on Tuesday. Presidential candidates are entitled to a briefing of classified information after formally securing the nomination, which Trump did last month. Hillary Clinton, Trump’s Democratic rival for the Nov. 8 election, is also entitled to receive a briefing if she requests one. Democrats have criticized Trump’s positions on foreign policy and national security, besides some freewheeling remarks. Democratic President Barack Obama has called Trump “unfit” for the presidency and this month warned the Republican candidate that briefing information must be kept secret. ",politicsNews,"August 16, 2016 "
